GEOLABEL,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3
European Union,13.4,13.3,13.2,13.6,15.3,15.0,14.4,15.4,14.3,13.5
Euro area,15.1,15.0,14.8,15.4,17.2,16.8,16.2,17.1,16.0,15.0
Belgium,11.5,11.3,11.8,11.4,12.2,12.8,12.5,14.0,12.4,13.2
Bulgaria,8.2,8.3,8.4,8.5,10.5,9.7,9.7,9.8,9.6,8.7
Czechia,3.1,3.1,3.0,3.1,3.7,3.8,4.0,4.6,4.5,3.6
Denmark,10.2,10.5,11.1,11.8,12.3,12.2,11.9,12.9,10.2,10.0
Germany,7.5,7.7,7.4,9.5,9.8,9.7,9.2,8.8,8.0,7.3
Estonia,10.2,9.2,9.1,10.1,12.4,13.5,13.2,12.6,12.0,10.2
Ireland,13.6,13.5,13.1,13.5,18.2,17.2,16.2,19.6,17.1,13.9
Greece,25.1,25.1,24.3,24.7,28.2,25.0,25.2,25.6,22.9,20.4
Spain,22.6,22.6,22.4,22.8,26.3,26.2,25.3,25.6,24.9,23.8
France,17.1,17.0,16.9,16.4,17.9,17.6,16.8,16.9,16.2,15.8
Croatia,14.0,13.4,12.8,13.6,15.4,14.4,15.2,14.2,14.2,12.7
Italy,21.6,21.3,21.0,21.0,24.0,22.7,21.8,25.2,23.3,21.9
Cyprus,13.4,13.7,13.2,13.2,14.2,15.8,15.8,16.2,16.2,14.5
Latvia,11.7,12.3,11.7,14.0,13.7,13.8,13.9,15.7,14.0,13.7
Lithuania,8.1,8.2,8.7,9.5,10.9,12.0,11.7,11.4,10.1,10.1
Luxembourg,11.4,11.9,11.5,13.0,13.4,14.2,12.2,13.6,13.1,12.7
Hungary,6.0,6.2,6.0,6.4,8.8,7.7,7.6,8.4,7.4,6.7
Malta,5.7,6.1,6.2,6.0,7.4,7.8,7.4,6.1,5.7,5.8
Netherlands,10.4,10.2,10.5,9.9,12.1,11.8,11.8,15.6,13.3,11.4
Austria,10.7,10.9,10.5,11.2,14.6,13.4,13.3,14.0,13.0,11.4
Poland,6.5,6.3,6.1,5.9,6.3,6.3,6.1,6.6,6.0,5.4
Portugal,13.1,12.5,12.7,12.9,14.9,15.0,13.9,14.0,12.9,11.9
Romania,7.3,7.2,6.8,6.6,8.6,8.8,8.4,10.1,9.6,9.5
Slovenia,6.8,7.3,6.3,7.1,8.1,8.3,8.4,11.9,9.3,9.1
Slovakia,8.9,8.4,8.3,8.7,9.7,9.7,9.9,9.9,9.0,8.3
Finland,15.9,15.8,15.9,16.1,18.7,17.8,17.5,17.8,17.0,16.5
Sweden,14.1,14.1,14.2,14.6,16.8,16.9,16.7,19.1,18.1,17.5
Iceland,9.1,10.0,9.7,9.8,13.8,13.4,16.3,25.0,22.1,20.4
Norway,9.1,9.3,9.9,9.8,11.3,12.0,11.3,13.4,12.9,10.8
Switzerland,15.3,15.6,15.2,15.1,17.1,17.0,16.8,16.6,15.3,14.7
Montenegro,25.2,24.5,26.2,26.1,30.4,31.8,32.5,:,:,:
North Macedonia,24.2,23.8,23.3,22.6,24.5,24.4,24.3,:,:,:
Serbia,20.4,19.9,19.8,19.8,20.9,19.7,19.4,19.7,18.1,18.0
Turkey,18.9,19.2,18.5,20.4,26.1,24.6,25.6,:,:,:
